date,year,month,day,Day of the week,work
2020/6/14,2020,6,14,7,FALSE
2020/6/15,2020,6,15,1,TRUE
2020/6/16,2020,6,16,2,TRUE
2020/6/17,2020,6,17,3,TRUE
2020/6/18,2020,6,18,4,TRUE
2020/6/19,2020,6,19,5,TRUE
2020/6/20,2020,6,20,6,TRUE
2020/6/21,2020,6,21,7,FALSE
2020/6/22,2020,6,22,1,TRUE
2020/6/23,2020,6,23,2,TRUE
2020/6/24,2020,6,24,3,TRUE
2020/6/25,2020,6,25,4,FALSE
2020/6/26,2020,6,26,5,FALSE
2020/6/27,2020,6,27,6,FALSE
2020/6/28,2020,6,28,7,FALSE
2020/6/29,2020,6,29,1,TRUE
2020/6/30,2020,6,30,2,TRUE
2020/7/1,2020,7,1,3,TRUE
2020/7/2,2020,7,2,4,TRUE
2020/7/3,2020,7,3,5,TRUE
2020/7/4,2020,7,4,6,FALSE
2020/7/5,2020,7,5,7,FALSE
2020/7/6,2020,7,6,1,TRUE
2020/7/7,2020,7,7,2,TRUE
2020/7/8,2020,7,8,3,TRUE
2020/7/9,2020,7,9,4,TRUE
2020/7/10,2020,7,10,5,TRUE
2020/7/11,2020,7,11,6,FALSE
2020/7/12,2020,7,12,7,FALSE
2020/7/13,2020,7,13,1,TRUE
2020/7/14,2020,7,14,2,TRUE
2020/7/15,2020,7,15,3,TRUE
2020/7/16,2020,7,16,4,TRUE
2020/7/17,2020,7,17,5,TRUE
2020/7/18,2020,7,18,6,FALSE
2020/7/19,2020,7,19,7,FALSE
2020/7/20,2020,7,20,1,TRUE
2020/7/21,2020,7,21,2,TRUE
2020/7/22,2020,7,22,3,TRUE
2020/7/23,2020,7,23,4,TRUE
2020/7/24,2020,7,24,5,TRUE
2020/7/25,2020,7,25,6,FALSE
2020/7/26,2020,7,26,7,FALSE
2020/7/27,2020,7,27,1,TRUE
2020/7/28,2020,7,28,2,TRUE
2020/7/29,2020,7,29,3,TRUE
2020/7/30,2020,7,30,4,TRUE
2020/7/31,2020,7,31,5,TRUE
2020/8/1,2020,8,1,6,FALSE
2020/8/2,2020,8,2,7,FALSE
2020/8/3,2020,8,3,1,TRUE
2020/8/4,2020,8,4,2,TRUE
2020/8/5,2020,8,5,3,TRUE
2020/8/6,2020,8,6,4,TRUE
2020/8/7,2020,8,7,5,TRUE
2020/8/8,2020,8,8,6,FALSE
2020/8/9,2020,8,9,7,FALSE
2020/8/10,2020,8,10,1,TRUE
2020/8/11,2020,8,11,2,TRUE
2020/8/12,2020,8,12,3,TRUE
2020/8/13,2020,8,13,4,TRUE
2020/8/14,2020,8,14,5,TRUE
2020/8/15,2020,8,15,6,FALSE
2020/8/16,2020,8,16,7,FALSE
2020/8/17,2020,8,17,1,TRUE
2020/8/18,2020,8,18,2,TRUE
2020/8/19,2020,8,19,3,TRUE
2020/8/20,2020,8,20,4,TRUE
