date,year,month,day,Day of the week,work,備轉容量(MW),備轉容量率(%)
2020/4/15,2020,4,15,3,TRUE,3497,12.41
2020/4/16,2020,4,16,4,TRUE,3144,11.02
2020/4/17,2020,4,17,5,TRUE,3609,12.45
2020/4/18,2020,4,18,6,FALSE,3489,13.09
2020/4/19,2020,4,19,7,FALSE,3028,11.42
2020/4/20,2020,4,20,1,TRUE,4091,13.64
2020/4/21,2020,4,21,2,TRUE,4376,14.59
2020/4/22,2020,4,22,3,TRUE,4031,14.1
2020/4/23,2020,4,23,4,TRUE,3948,14.07
2020/4/24,2020,4,24,5,TRUE,3948,14.26
2020/4/25,2020,4,25,6,FALSE,3166,12.34
2020/4/26,2020,4,26,7,FALSE,3120,12.43
2020/4/27,2020,4,27,1,TRUE,3810,13.27
2020/4/28,2020,4,28,2,TRUE,4687,16.19
2020/4/29,2020,4,29,3,TRUE,3346,11.33
2020/4/30,2020,4,30,4,TRUE,4864,16.43
2020/5/1,2020,5,1,5,TRUE,3512,13.11
2020/5/2,2020,5,2,6,FALSE,3414,12.9
2020/5/3,2020,5,3,7,FALSE,2967,11.06
2020/5/4,2020,5,4,1,TRUE,3476,10.75
2020/5/5,2020,5,5,2,TRUE,3400,10.2
2020/5/6,2020,5,6,3,TRUE,3426,10.39
2020/5/7,2020,5,7,4,TRUE,3736,11.49
2020/5/8,2020,5,8,5,TRUE,3414,10.1
2020/5/9,2020,5,9,6,FALSE,3823,12.87
