,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
487,2020-05-02,3844.679020676079,2700.4895904280265,3991.1327591517806,3844.679020676079,3844.679020676079,-496.3323465219167,-496.3323465219167,-496.3323465219167,7.315728189328305,7.315728189328305,7.315728189328305,-503.648074711245,-503.648074711245,-503.648074711245,0.0,0.0,0.0,3348.346674154162
488,2020-05-03,3842.051765171001,2527.873693050258,3795.085403221698,3842.051765171001,3842.051765171001,-644.2517835030221,-644.2517835030221,-644.2517835030221,-144.34706851130238,-144.34706851130238,-144.34706851130238,-499.90471499171963,-499.90471499171963,-499.90471499171963,0.0,0.0,0.0,3197.799981667979
489,2020-05-04,3839.4245096659242,2721.3194886094157,4054.4376571483604,3839.4245096659242,3839.4245096659242,-452.4917007077096,-452.4917007077096,-452.4917007077096,41.90378920438545,41.90378920438545,41.90378920438545,-494.39548991209506,-494.39548991209506,-494.39548991209506,0.0,0.0,0.0,3386.9328089582145
490,2020-05-05,3836.7972541608474,2706.117858845989,4007.8401942367914,3836.7972541608474,3836.7972541608474,-482.04349230516624,-482.04349230516624,-482.04349230516624,4.596392493338901,4.596392493338901,4.596392493338901,-486.6398847985052,-486.6398847985052,-486.6398847985052,0.0,0.0,0.0,3354.753761855681
491,2020-05-06,3834.1699986557696,2700.498751634465,4050.604386560092,3834.1699986557696,3834.1699986557696,-467.37823451609233,-467.37823451609233,-467.37823451609233,8.788991564359195,8.788991564359195,8.788991564359195,-476.16722608045154,-476.16722608045154,-476.16722608045154,0.0,0.0,0.0,3366.791764139677
492,2020-05-07,3831.5427431506914,2715.666662426528,4037.1977157932806,3831.5427431506914,3831.5427431506914,-447.03986811907265,-447.03986811907265,-447.03986811907265,15.491709220990355,15.491709220990355,15.491709220990355,-462.53157734006305,-462.53157734006305,-462.53157734006305,0.0,0.0,0.0,3384.5028750316187
493,2020-05-08,3828.9154876456146,2752.2539147689868,4091.555039045358,3828.9154876456146,3828.9154876456146,-379.0760797561686,-379.0760797561686,-379.0760797561686,66.25045783954913,66.25045783954913,66.25045783954913,-445.32653759571775,-445.32653759571775,-445.32653759571775,0.0,0.0,0.0,3449.839407889446
494,2020-05-09,3826.2882321405377,2802.6995317281885,4075.883880286526,3826.2882321405377,3826.2882321405377,-416.8837786944048,-416.8837786944048,-416.8837786944048,7.315728189034735,7.315728189034735,7.315728189034735,-424.19950688343954,-424.19950688343954,-424.19950688343954,0.0,0.0,0.0,3409.4044534461327
495,2020-05-10,3823.6609766354604,2655.0988960220843,3995.2226410862595,3823.6609766354604,3823.6609766354604,-543.2120585831406,-543.2120585831406,-543.2120585831406,-144.3470685113112,-144.3470685113112,-144.3470685113112,-398.8649900718294,-398.8649900718294,-398.8649900718294,0.0,0.0,0.0,3280.4489180523196
496,2020-05-11,3821.033721130383,2857.4617537322333,4095.94416643085,3821.033721130383,3821.033721130383,-327.2127390596251,-327.2127390596251,-327.2127390596251,41.90378920449554,41.90378920449554,41.90378920449554,-369.1165282641207,-369.1165282641207,-369.1165282641207,0.0,0.0,0.0,3493.820982070758
497,2020-05-12,3818.406465625306,2802.819407871942,4147.368675832629,3818.406465625306,3818.406465625306,-330.24048526389606,-330.24048526389606,-330.24048526389606,4.596392493181028,4.596392493181028,4.596392493181028,-334.8368777570771,-334.8368777570771,-334.8368777570771,0.0,0.0,0.0,3488.1659803614098
498,2020-05-13,3815.779210120228,2858.9166883462185,4220.222756567516,3815.779210120228,3815.779210120228,-287.21710704749813,-287.21710704749813,-287.21710704749813,8.788991564414218,8.788991564414218,8.788991564414218,-296.00609861191236,-296.00609861191236,-296.00609861191236,0.0,0.0,0.0,3528.5621030727298
