,ds,y
751,2021/1/21,3074.0
752,2021/1/22,3097.0
753,2021/1/23,3203.0
754,2021/1/24,3073.0
755,2021/1/25,3269.0
756,2021/1/26,3219.0
757,2021/1/27,3064.0
758,2021/1/28,3286.0
759,2021/1/29,3203.0
760,2021/1/30,3447.0
761,2021/1/31,2906.0
762,2021/2/1,2938.0
763,2021/2/2,3045.0
764,2021/2/3,3006.0
765,2021/2/4,3132.0
766,2021/2/5,3060.0
767,2021/2/6,3066.0
768,2021/2/7,2763.0
769,2021/2/8,3047.0
770,2021/2/9,2880.0
771,2021/2/10,2888.0
772,2021/2/11,2833.0
773,2021/2/12,2992.0
774,2021/2/13,3024.0
775,2021/2/14,2911.0
776,2021/2/15,2645.0
777,2021/2/16,3002.0
778,2021/2/17,2824.0
779,2021/2/18,2907.0
780,2021/2/19,2885.0
781,2021/2/20,2975.0
782,2021/2/21,3139.0
783,2021/2/22,2989.0
784,2021/2/23,3109.0
785,2021/2/24,3049.0
786,2021/2/25,3029.0
787,2021/2/26,3041.0
788,2021/2/27,2758.0
789,2021/2/28,2672.0
790,2021/3/1,2832.0
791,2021/3/2,3221.0
792,2021/3/3,3075.0
793,2021/3/4,3088.0
794,2021/3/5,3268.0
795,2021/3/6,2805.0
796,2021/3/7,2752.0
797,2021/3/8,3110.0
798,2021/3/9,3048.0
799,2021/3/10,3055.0
800,2021/3/11,3077.0
801,2021/3/12,3272.0
802,2021/3/13,3075.0
803,2021/3/14,2933.0
804,2021/3/15,3074.0
