,Keelung,Xizhi,Wanli,Xindian,Tucheng,Banqiao,Xinzhuang,Cailiao,Linkou,Dashui,Shilin, Zhongshan,Wanhua,Guting,Songshan,Datong,Taoyuan,Dayuan,Guanyin,Pingzhen,Longtan,Hukou,Zhudong ,Xinzhu,Toufen,Miaoli,Sanyi,Fengyuan,Shalu,Dali,Zhongming,Xitun,Changhua,Xianxi,Erlin,Nantou,Douliu,Lunbei,Xingang,Piaozi,Taixi,Chiayi,Xinying,Shanhua,Annan,Tainan,Meinong,Qiaotou,Renwu,Fengshan,Daliao,Lin Garden,Nanzi,Zuoying,Qianjin,Qianzhen ,Xiaogang,Pingtung,Chaozhou,Hengchun,Taitung,Hualian,Yangming,Yilan,Winter Mountain,Sanchong,Zhongli,Zhushan,Yonghe,Fuxing,Puli,Mazu,Jinmen,Magong,Guanshan,Mailiao,Fugui Jiao
2019-02-13,8,9,9,13,15,12,8,10,7,9,8,11,9,12,11,10,11,8,11,13,14,11,17,20,15,25,15,17,22,17,21,23,23,29,26,25,34,35,29,20,17,36,29,29,26,29,21,35,29,35,28,28,37,25,34,28,28,27,26,7,4,6,2,12,5,10,11,19,12,35,21,11,27,11,6,21,8
2019-02-14,8.0,8.0,10.0,11.0,15.0,13.0,10.0,10.0,9.0,9.0,9.0,12.0,10.0,11.0,11.0,11.0,15.0,7.0,10.0,12.0,18.0,13.0,19.0,20.0,15.0,26.0,16.0,17.0,20.0,16.0,19.0,22.0,20.0,21.0,17.0,24.0,29.0,30.0,22.0,20.0,19.0,27.0,23.0,28.0,18.0,23.0,21.0,34.0,32.0,31.0,31.0,29.0,38.0,31.0,36.0,33.0,31.0,25.0,24.0,6.0,3.0,7.0,3.0,9.0,7.0,9.0,10.0,28.0,12.0,40.0,19.0,8.0,17.0,13.0,6.0,18.0,9.0
2019-02-15,14.0,22.0,15.0,23.0,26.0,26.0,23.0,23.0,18.0,15.0,18.0,26.0,22.0,28.0,23.0,20.0,27.0,18.0,19.0,27.0,24.0,24.0,22.0,32.0,22.0,31.0,12.0,18.0,24.0,23.0,20.0,23.0,28.0,28.0,25.0,27.0,41.0,38.0,30.0,29.0,29.0,39.0,34.0,39.0,29.0,30.0,23.0,45.0,44.0,35.0,31.0,29.0,46.0,42.0,45.0,40.0,36.0,25.0,19.0,5.0,6.0,8.0,8.0,11.0,13.0,22.0,21.0,40.0,29.0,44.0,16.0,13.0,23.0,16.0,8.0,28.0,16.0
2019-02-16,6,4,6,6,9,7,7,7,8,6,7,9,5,5,5,7,12,8,10,12,14,14,21,20,23,31,25,27,27,17,27,27,30,32,26,22,31,41,36,31,28,34,34,37,35,35,18,34,29,25,24,17,34,32,31,25,24,20,13,5,6,7,2,7,6,4,13,27,6,28,24,3,20,13,8,26,6
2019-02-17,4,2,6,4,4,3,2,3,4,3,5,4,5,4,2,6,3,6,8,5,9,11,7,9,7,11,8,17,5,8,12,11,11,10,12,17,20,24,18,15,13,23,16,23,14,18,22,29,30,33,32,32,39,29,31,26,27,31,32,4,4,5,1,4,4,2,4,32,3,33,25,11,14,8,6,11,6
2019-02-18,6.0,10.0,7.0,8.0,14.0,11.0,8.0,10.0,7.0,6.0,7.0,10.0,9.0,12.0,12.0,10.0,9.0,6.0,8.0,11.0,12.0,10.0,18.0,15.0,10.0,18.0,11.0,19.0,12.0,15.0,16.0,16.0,18.0,13.0,17.0,27.0,34.0,31.0,25.0,21.0,18.0,29.0,26.0,26.0,18.0,20.0,14.0,25.0,21.0,18.0,19.0,17.0,28.0,23.0,24.0,18.0,20.0,22.0,22.0,4.0,3.0,5.0,5.0,3.0,6.0,8.0,12.0,41.0,12.0,22.0,25.0,9.0,17.0,9.0,6.0,16.0,5.0
2019-02-19,10,14,14,20,32,26,20,20,16,15,15,19,18,22,17,16,23,18,0,21,29,18,27,28,17,23,19,31,26,28,26,24,29,29,23,37,48,35,34,22,34,26,15,11,15,16,8,15,14,15,17,9,18,19,19,12,14,19,17,9,11,9,11,8,11,16,21,48,24,13,26,17,30,13,10,24,8
2019-02-20,12,15,12,20,29,25,20,20,19,20,20,22,20,25,20,18,25,24,0,28,31,29,41,40,28,40,34,50,35,34,47,42,45,42,42,48,62,56,76,46,48,59,54,38,40,31,9,19,17,13,18,9,20,18,14,9,11,12,13,6,15,10,15,10,14,20,21,67,23,8,30,10,43,22,11,48,12
2019-02-21,7,7,9,9,14,11,11,10,10,8,11,12,9,11,10,12,14,11,11,15,23,16,27,23,19,30,18,32,19,23,28,20,27,23,25,39,49,42,40,36,28,53,52,49,46,47,5,46,21,12,13,4,30,21,19,7,8,9,11,5,6,14,5,7,11,9,19,58,10,8,32,5,23,14,7,24,7
2019-02-22,6,4,7,6,10,8,6,7,4,6,4,5,7,7,6,7,7,7,7,11,13,8,15,12,10,14,10,16,11,14,17,15,16,10,17,24,26,28,26,24,16,35,26,37,35,33,10,37,32,28,27,23,39,37,36,25,26,17,19,9,6,8,1,7,8,3,9,34,8,27,27,7,13,10,9,15,7
